X,Y,Z,Name,Category,Price,Suburb,Pog Approved,,,,,,,,
151.1385674,-33.8805626,0,Happyfield Haberfield,Brunch,$$,Haberfield,N,,,?,Brunch,,,,
151.2169517,-33.8830672,0,TenTo,Japanese,$$,Surry Hills,N,,,?,Japanese,,,,
151.2136648,-33.8783039,0,The sandwich stop,Sandwiches,$,Darlinghurst,Y,,,?,Sandwiches,,,,
151.1839802,-33.8929507,0,Uncle Tee's Crepes Newtown,Dessert,$,Newtown,N,,,?,Dessert,,,,
151.1428414,-33.9231325,0,OL'MATES Sandwich Shop,Sandwiches,$,Earlwood,N,,,?,Sandwiches,,,,
151.2065571,-33.8696428,0,Mensho Tokyo Ramen Sydney,Ramen,$$$,CBD,N,,,?,Ramen,,,,
151.2263526,-33.8786501,0,Cross Section,Sandwiches,$,Darlinghurst,Y,,,?,Sandwiches,,,,
151.2674749,-33.8946167,0,Up South Bondi,Brunch,$$,Bondi,Y,,,?,Brunch,,,,
151.1807182,-33.8833551,0,Delisia Panino & Espresso Sydney,Sandwiches,$,Forest Lodge,N,,,?,Sandwiches,,,,
151.2213095,-33.8781651,0,The Waratah,Australian,$$$,Darlinghurst,N,,,?,Australian,,,,
151.2160878,-33.8827313,0,Lavie & Belle Bakery Surry Hills,Bakery,$,Surry Hills,N,,,?,Bakery,,,,
151.138977,-33.9536994,0,Happy Alley,Sandwiches,$$,Rockdale,N,,,?,Sandwiches,,,,
151.2142465,-33.8850203,0,170 Grammi Pizzeria,Italian,$$,Surry Hills,N,,,?,Italian,,,,
151.2758582,-33.8892556,0,Bottega Sydney (Bondi),Sandwiches,$,Bondi,N,,,?,Sandwiches,,,,
151.2861539,-33.7973907,0,Bottega Sydney (Manly),Sandwiches,$,Manly,N,,,?,Sandwiches,,,,
151.2408333,-33.825,0,Washoku Mosman,Japanese,$$,Mosman,N,,,?,Japanese,,,,
151.20957,-33.8863238,0,Humble Bakery - Surry Hills,Bakery,$,Surry Hills,N,,,?,Bakery,,,,
151.2583183,-33.9184725,0,will's,Burgers,$$,Coogee,N,,,?,Burgers,,,,
151.2247425,-33.8729972,0,Penny's Cheese Shop,Sandwiches,$,Potts Point,N,,,?,Sandwiches,,,,
151.1784655,-33.8970109,0,Tokyo Lamington Newtown,Dessert,$,Marrickville,Y,,,?,Dessert,,,,
151.2224435,-33.925226,0,Bobo Bakery,Bakery,$,Bondi,Y,,,?,Bakery,,,,
151.2210814,-33.8786946,0,Ouzo Bar & Dining,Greek,$$$,Darlinghurst,N,,,?,Greek,,,,
151.2210876,-33.878456,0,PUNPUN,Sandwiches,$,Darlinghurst,N,,,?,Sandwiches,,,,
151.281274,-33.8896092,0,Pocket Bondi,Australian,$$$,Bondi,N,,,?,Australian,,,,
151.144317,-33.955536,0,The Burek Brothers & Co.,Bakery,$$,Rockdale,N,,,?,Bakery,,,,
151.2034355,-33.8799521,0,Torori Warabimochi Australia,Dessert,$,Haymarket,N,,,?,Dessert,,,,
151.2560188,-33.9232022,0,Louie,Italian,$$$,Coogee,N,,,?,Italian,,,,
151.2037251,-33.8765016,0,Gyuniku Buffet,Japanese,$$$,Haymarket,N,,,?,Japanese,,,,
151.1673365,-33.9073486,0,ONA Coffee Sydney | CafÈ Marrickville,Brunch,$$,Marrickville,N,,,?,Brunch,,,,
151.2094045,-33.8863329,0,Bastardo,Italian,$$$,Surry Hills,Y,,,?,Italian,,,,
151.2109731,-33.8632044,0,Neptune's Grotto,Italian,$$$,Circular Quay,Y,,,?,Italian,,,,
151.2318567,-33.8863741,0,Saint Peter at The Grand National Hotel,Seafood,$$$$$$,Paddington,N,,,?,Seafood,,,,
151.2100844,-33.8575687,0,Quay Restaurant,Australian,$$$$$$,The Rocks,N,,,?,Australian,,,,
151.1647189,-33.8925401,0,Sixpenny,Australian,$$$$$$,Stanmore,N,,,?,Australian,,,,
151.2093107,-33.8633205,0,Allta,Korean,$$$$$,Circular Quay,N,,,?,Korean,,,,
151.2132635,-33.8592041,0,Aria Restaurant Sydney,Australian,$$$$$,Circular Quay,N,,,?,Australian,,,,
151.2087911,-33.8656204,0,Bentley Restaurant + Bar,Australian,$$$$$,CBD,N,,,?,Australian,,,,
151.2051274,-33.8684747,0,King Clarence,Asian-Fusion,$$$$,CBD,N,,,?,Asian-Fusion,,,,
151.2886732,-33.7816101,0,Pilu at Freshwater,Italian,$$$$$,Freshwater,N,,,?,Italian,,,,
151.2431709,-33.8759323,0,SakÈ Restaurant & Bar Double Bay,Japanese,$$$$,Double Bay,Y,,,?,Japanese,,,,
151.2476856,-33.807003,0,St Siandra,Italian,$$$,Mosman,N,,,?,Italian,,,,
151.2101938,-33.8660068,0,Spice Temple Sydney,Cantonese,$$$$,CBD,N,,,?,Cantonese,,,,
151.1658036,-33.9081969,0,20 Chapel,Australian,$$$,Marrickville,N,,,?,Australian,,,,
151.2009308,-33.8921908,0,Attenzione Food & Wine,Italian,$$$,Redfern,N,,,?,Italian,,,,
151.2154123,-33.873561,0,Flour and Stone,Bakery,$,Woolloomooloo,N,,,?,Bakery,,,,
151.205586,-33.8929085,0,Breadfern Bakery,Bakery,$,Redfern,N,,,?,Bakery,,,,
151.2132391,-33.8881521,0,Lode Pies & Pastries,Bakery,$,Surry Hills,Y,,,?,Bakery,,,,
151.2148985,-33.8894017,0,Bourke Street Bakery Surry Hills,Bakery,$,Surry Hills,Y,,,?,Bakery,,,,
151.2110859,-33.880537,0,A.P Supply (A.P Bakery),Bakery,$,Surry Hills,N,,,?,Bakery,,,,
151.2095574,-33.8624101,0,Tapavino,Spanish,$$$,Circular Quay,N,,,?,Spanish,,,,
151.2112574,-33.882972,0,Bar Copains,French,$$$,Surry Hills,N,,,?,French,,,,
151.2081456,-33.8618074,0,Bistro George,Australian,$$$$,Circular Quay,N,,,?,Australian,,,,
151.2241799,-33.8794351,0,Buon Ricordo Italian Restaurant & Private Dining,Italian,$$$$,Paddington,N,,,?,Italian,,,,
151.2329103,-33.8848928,0,Civico 47,Italian,$$$$,Paddington,N,,,?,Italian,,,,
151.221776,-33.8778066,0,Fabbrica Pasta Bar Darlinghurst,Italian,$$,Darlinghurst,N,,,?,Italian,,,,
151.1848156,-33.8927487,0,Fabbrica Pasta Bar Newtown,Italian,$$,Newtown,N,,,?,Italian,,,,
151.1733235,-33.8987746,0,Firepop,Australian,$$,Enmore,N,,,?,Australian,,,,
151.2016009,-33.8925741,0,Fontana,Italian,$$$,Redfern,N,,,?,Italian,,,,
151.2062891,-33.8716791,0,Ho Jiak Town Hall - Junda's Playground,Malaysian,$$$,CBD,N,,,?,Malaysian,,,,
151.2353524,-33.8899874,0,Hotel Centennial,Australian,$$$,Woollahra,N,,,?,Australian,,,,
151.2109494,-33.8625166,0,Lana,Italian,$$$$,Circular Quay,N,,,?,Italian,,,,
151.2015895,-33.8848073,0,Longshore,Australian,$$$$,Chippendale,N,,,?,Australian,,,,
151.20995,-33.8436731,0,"Loulou Bistro, Boulangerie & Traiteur",French,$$$$,Milsons Point,N,,,?,French,,,,
151.1768099,-33.898201,0,MAIZ Mexican Food,Mexican,$$,Newtown,N,,,?,Mexican,,,,
151.20647,-33.8662062,0,Maydanoz Restaurant Bar,Turkish,$$$,CBD,N,,,?,Turkish,,,,
151.212847,-33.861272,0,Oborozuki,Japanese,$$$$$$,Circular Quay,N,,,?,Japanese,,,,
151.1730886,-33.8990104,0,Osteria di Russo & Russo Enmore,Italian,$$$,Enmore,N,,,?,Italian,,,,
151.2110326,-33.8791576,0,Poly,Australian,$$$,Surry Hills,N,,,?,Australian,,,,
151.2046542,-33.8779247,0,Royal Palace Seafood Restaurant,Cantonese,$$$,Haymarket,N,,,?,Cantonese,,,,
151.1950493,-33.8627372,0,Sala,Italian,$$$$,Pyrmont,N,,,?,Italian,,,,
